Mentee,Mentee Email,Mentor,Mentor Email,Score,Mentor Email Is EDU,Validation Notes Mentor,Validation Notes Mentee,Shared Hobbies (Exact),Same School,Year Gap,MBTI Mentee/Mentor,Goals (Mentor←Mentee),BRK::pref_gender,BRK::pref_eth,BRK::mentor_pref_gender,BRK::mentor_pref_eth,BRK::lgbtq_pref,BRK::availability_overlap,BRK::location_state,BRK::year_proximity,BRK::mbti,BRK::goals_rule,BRK::goals_semantic,BRK::interests_semantic
Sam Chen,sam.chen2.mentee@rutgers.edu,Jamie Patel,jamie.patel5.mentor@rutgers.edu,91.4875,True,,,,False,,ENTP / ENFJ,I want to build a network in venture capital and eventually invest in early-stage fintech startups. ← I want to work at a top design agency and create user experiences that are intuitive and beautiful.,0,20,10.0,10.0,5.0,2.0,0,0,9,0,19.5136,15.9739
Sam Chen,sam.chen2.mentee@rutgers.edu,Sam Johnson,sam.johnson4.mentor@rutgers.edu,90.2968,True,,,,False,,INTJ / ENFJ,I'm building a nonprofit to provide free coding bootcamps and mentorship to students from underserved communities. ← I want to work at a top design agency and create user experiences that are intuitive and beautiful.,0,20,10.0,10.0,5.0,1.4286,0,0,10,0,20.0457,13.8225
Sam Chen,sam.chen2.mentee@rutgers.edu,Jamie Brown,jamie.brown1.mentor@rutgers.edu,84.6403,True,,,,False,,ENFJ / ENFJ,I want to get AWS and Azure certifications and transition into a cloud architect role in enterprise IT. ← I want to work at a top design agency and create user experiences that are intuitive and beautiful.,0,20,10.0,0.0,5.0,5.7143,0,0,8,0,20.8606,15.0655
Sam Chen,sam.chen2.mentee@rutgers.edu,Alex Davis,alex.davis7.mentor@rutgers.edu,81.1706,True,,,,False,,ISFJ / ENFJ,I want to develop my public speaking skills and lead workshops on effective communication in professional settings. ← I want to work at a top design agency and create user experiences that are intuitive and beautiful.,0,20,10.0,0.0,5.0,3.3333,0,0,9,0,18.2971,15.5401
Sam Chen,sam.chen2.mentee@rutgers.edu,Riley Davis,riley.davis3.mentor@rutgers.edu,80.0966,True,,,,False,,ENTJ / ENFJ,I want to publish research on economic inequality and work in policy think tanks to influence legislation. ← I want to work at a top design agency and create user experiences that are intuitive and beautiful.,0,20,0.0,10.0,5.0,4.2857,0,0,11,0,16.7339,13.077
Sam Lee,sam.lee5.mentee@rutgers.edu,Riley Davis,riley.davis3.mentor@rutgers.edu,125.5843,True,,,,False,,ENTJ / ENTP,I want to publish research on economic inequality and work in policy think tanks to influence legislation. ← My goal is to pursue a PhD in neuroscience and study how memory formation works in the human brain.,20,20,10.0,10.0,15.0,4.2857,0,0,10,4,18.3336,13.9649
Sam Lee,sam.lee5.mentee@rutgers.edu,Jamie Patel,jamie.patel5.mentor@rutgers.edu,116.8592,True,,,,False,,ENTP / ENTP,I want to build a network in venture capital and eventually invest in early-stage fintech startups. ← My goal is to pursue a PhD in neuroscience and study how memory formation works in the human brain.,20,20,10.0,10.0,15.0,2.8571,0,0,8,0,17.2115,13.7906
Sam Lee,sam.lee5.mentee@rutgers.edu,Sam Johnson,sam.johnson4.mentor@rutgers.edu,110.1223,True,,,,False,,INTJ / ENTP,I'm building a nonprofit to provide free coding bootcamps and mentorship to students from underserved communities. ← My goal is to pursue a PhD in neuroscience and study how memory formation works in the human brain.,20,0,10.0,10.0,15.0,12.8571,0,0,11,0,18.133,13.1322
Sam Lee,sam.lee5.mentee@rutgers.edu,Alex Lee,alex.lee6.mentor@rutgers.edu,99.9041,True,,,,False,,ESTJ / ENTP,I'm focused on launching a mobile app for personal finance education and helping people build wealth. ← My goal is to pursue a PhD in neuroscience and study how memory formation works in the human brain.,20,0,10.0,10.0,15.0,6.0,0,0,8,0,18.0981,12.806
Sam Lee,sam.lee5.mentee@rutgers.edu,Casey Smith,casey.smith9.mentor@rutgers.edu,95.1979,True,,,,False,,ESFP / ENTP,I want to take on leadership roles in student government and learn how to organize large-scale campus events. ← My goal is to pursue a PhD in neuroscience and study how memory formation works in the human brain.,20,0,10.0,10.0,10.0,4.0,0,0,9,0,19.4659,12.732
Sam Lee,sam.lee5.mentee@rutgers.edu,Alex Khan,alex.khan0.mentor@rutgers.edu,94.9377,True,,,,False,,ENFP / ENTP,I'm working toward landing a software engineering internship at a FAANG company and building scalable web applications. ← My goal is to pursue a PhD in neuroscience and study how memory formation works in the human brain.,20,0,10.0,10.0,10.0,4.2857,0,0,10,0,17.9025,12.7495
Sam Lee,sam.lee5.mentee@rutgers.edu,Jamie Brown,jamie.brown1.mentor@rutgers.edu,91.3462,True,,,,False,,ENFJ / ENTP,I want to get AWS and Azure certifications and transition into a cloud architect role in enterprise IT. ← My goal is to pursue a PhD in neuroscience and study how memory formation works in the human brain.,20,0,10.0,0.0,15.0,5.7143,0,0,9,0,17.3166,14.3153
Sam Lee,sam.lee5.mentee@rutgers.edu,Alex Davis,alex.davis7.mentor@rutgers.edu,85.6895,True,,,,False,,ISFJ / ENTP,I want to develop my public speaking skills and lead workshops on effective communication in professional settings. ← My goal is to pursue a PhD in neuroscience and study how memory formation works in the human brain.,20,0,10.0,0.0,15.0,4.0,0,0,6,0,18.117,12.5725
Sam Lee,sam.lee5.mentee@rutgers.edu,Avery Patel,avery.patel2.mentor@rutgers.edu,85.0684,True,,,,False,,INTP / ENTP,I'm passionate about creating educational video games that teach STEM concepts to middle schoolers. ← My goal is to pursue a PhD in neuroscience and study how memory formation works in the human brain.,20,0,0.0,10.0,10.0,2.8571,0,0,10,0,19.2843,12.9269
Sam Lee,sam.lee5.mentee@rutgers.edu,Casey Garcia,casey.garcia8.mentor@rutgers.edu,84.842,True,,,,False,,ISTJ / ENTP,I'm studying abroad to become fluent in Mandarin and Spanish while learning about global business practices. ← My goal is to pursue a PhD in neuroscience and study how memory formation works in the human brain.,20,0,0.0,10.0,10.0,4.0,0,0,7,0,19.3771,14.4649
Taylor Brown,taylor.brown4.mentee@rutgers.edu,Casey Smith,casey.smith9.mentor@rutgers.edu,121.7898,True,,,,False,,ESFP / INFP,I want to take on leadership roles in student government and learn how to organize large-scale campus events. ← I want to become an educator and develop inclusive teaching methods for diverse student populations.,20,20,10.0,10.0,10.0,8.0,0,0,7,0,20.9404,15.8494
Taylor Brown,taylor.brown4.mentee@rutgers.edu,Alex Khan,alex.khan0.mentor@rutgers.edu,119.0774,True,,,,False,,ENFP / INFP,I'm working toward landing a software engineering internship at a FAANG company and building scalable web applications. ← I want to become an educator and develop inclusive teaching methods for diverse student populations.,20,20,10.0,10.0,10.0,3.5714,0,0,11,0,18.6711,15.8348
Taylor Brown,taylor.brown4.mentee@rutgers.edu,Sam Johnson,sam.johnson4.mentor@rutgers.edu,117.9704,True,,,,False,,INTJ / INFP,I'm building a nonprofit to provide free coding bootcamps and mentorship to students from underserved communities. ← I want to become an educator and develop inclusive teaching methods for diverse student populations.,20,20,10.0,10.0,15.0,0.0,0,0,7,0,20.5636,15.4067
Taylor Brown,taylor.brown4.mentee@rutgers.edu,Jamie Brown,jamie.brown1.mentor@rutgers.edu,116.2068,True,,,,False,,ENFJ / INFP,I want to get AWS and Azure certifications and transition into a cloud architect role in enterprise IT. ← I want to become an educator and develop inclusive teaching methods for diverse student populations.,20,20,10.0,0.0,15.0,2.8571,0,0,15,0,19.5531,13.7966
Taylor Brown,taylor.brown4.mentee@rutgers.edu,Riley Davis,riley.davis3.mentor@rutgers.edu,116.1515,True,,,,False,,ENTJ / INFP,I want to publish research on economic inequality and work in policy think tanks to influence legislation. ← I want to become an educator and develop inclusive teaching methods for diverse student populations.,20,20,10.0,0.0,15.0,2.8571,0,0,15,0,18.5485,14.7459
Taylor Brown,taylor.brown4.mentee@rutgers.edu,Alex Davis,alex.davis7.mentor@rutgers.edu,115.8362,True,,,,False,,ISFJ / INFP,I want to develop my public speaking skills and lead workshops on effective communication in professional settings. ← I want to become an educator and develop inclusive teaching methods for diverse student populations.,20,20,10.0,0.0,15.0,8.0,0,0,7,0,20.8562,14.9801
Taylor Brown,taylor.brown4.mentee@rutgers.edu,Alex Lee,alex.lee6.mentor@rutgers.edu,114.1033,True,,,,False,,ESTJ / INFP,I'm focused on launching a mobile app for personal finance education and helping people build wealth. ← I want to become an educator and develop inclusive teaching methods for diverse student populations.,20,20,10.0,10.0,15.0,4.0,0,0,3,0,18.2621,13.8412
Taylor Brown,taylor.brown4.mentee@rutgers.edu,Avery Patel,avery.patel2.mentor@rutgers.edu,111.2446,True,,,,False,,INTP / INFP,I'm passionate about creating educational video games that teach STEM concepts to middle schoolers. ← I want to become an educator and develop inclusive teaching methods for diverse student populations.,20,20,0.0,10.0,10.0,5.7143,0,0,9,0,21.1446,15.3857
Taylor Brown,taylor.brown4.mentee@rutgers.edu,Casey Garcia,casey.garcia8.mentor@rutgers.edu,108.6014,True,,,,False,,ISTJ / INFP,I'm studying abroad to become fluent in Mandarin and Spanish while learning about global business practices. ← I want to become an educator and develop inclusive teaching methods for diverse student populations.,20,20,0.0,10.0,10.0,8.0,0,0,6,0,20.1506,14.4509
Taylor Brown,taylor.brown4.mentee@rutgers.edu,Jamie Patel,jamie.patel5.mentor@rutgers.edu,107.9649,True,,,,False,,ENTP / INFP,I want to build a network in venture capital and eventually invest in early-stage fintech startups. ← I want to become an educator and develop inclusive teaching methods for diverse student populations.,20,20,10.0,0.0,15.0,0.0,0,0,11,0,17.0939,14.871
